"Secuencia","Codigo Producto","Producto","Ingles","Chino","Cantidad","Saldo","Costo","Fob","Fob Total"
"750","R200-9S1801","AMORTIGUADOR  200-9 STREET","Rear shock absorber","","100","100","23.18","",""
"755","R200-9S2005","KIT DE PISTAS DE TREN DELANTERO","Adjusting nut, steering stem","","300","300","2.32","",""
"760","R200-9S2018","CABLE DE EMBRAGUE","Clutch cable unit","","650","650","1.22","",""
"765","R200-VR0315","TAPA PIÑON MOTRIZ MATE","","","30","30","4.84","",""
"770","R200-VR1107","COBERTOR DE VELOCIMETRO VORTEX II","","","1","1","1.23","",""
"775","R200-VR1401","SOPORTE DERECHO DE  GUARDAFANGO POSTERIOR","Right bracket of rear fender","","200","200","4.42","",""
"780","R200-VR1617","PASTILLA DE FRENO POSTERIOR","","","300","300","2.44","",""
"785","R200-VR1902","ESTRIBO DE PASAJERO LH","","","200","200","6.03","",""
"790","R250-060118","CILINDRO 250-6I  2019","","","100","100","16.13","",""
"795","R250-060810","PASTILLA DE FRENO","frictional piece, front disc ","前碟刹蹄片","200","200","1.18","",""
"800","R250-063002NEG","PEDAL DE ARRANQUE 250-6I 2019/- THOR SPORT II  VORTEX II AVENTURE","Rear brake pedal and staff assy","后制动踏板组合","50","50","4.07","",""
"805","R250-080701","CIGUEÑAL SPORT II 250-9A  250-6A 250-5A","","","30","30","34.15","",""
"810","R250-080907","BOMBA DE ACEITE 250-8 TITAN","","","20","20","","",""
"815","R250-081210","CUBREPUÑO DERECHO 250-8 TITAN","","","35","35","6.36","",""
"820","R250-181202","COMANDO DERECHO 250-18D","","","30","30","3.31","",""
"825","R250-181401","TUBO DE ESCAPE 250-18D","","","20","20","33.89","",""
"830","R250-181801","DIRECCIONAL POSTERIOR JUEGO 250-18D","","","40","40","6.83","",""
"835","R250-9A0329","RETENEDORES JUEGO 4PCS A-VENTURE","","","20","20","1.37","",""
"840","R250-9A1307","CABLE DE VELOCIMETRO","Flexible cable, odometer","","50","50","1.1","",""
"845","R250-9A1604","CAMANDO DERECHO","Handlebar switch, RH","","70","70","4.15","",""
"850","R250-9A1718","ESTRIBO DEL CONDUCTOR IZQUIERDO","Footrest assy, LH","","20","20","5.06","",""
"855","R250-9S0320","VALVULA DE AD / ES  JUEGO","","","270","270","2.68","",""
"860","R250-II0105","BOYA DE COMBUSTIBLE","","","30","30","1.5","",""
"865","R250-II0218","DECORATIVO DE ESCAPE","","","50","50","6.71","",""
"870","R250-II0304","PARABRISA    CHEIF II","Front wind shield","","100","100","4.6","",""
"875","R250-II0313","DIRECCIONAL DELANTERA LH","","","100","100","4.11","",""
"880","R250-II0320","CERRADURA DE ASIENTO POSTERIOR","","","10","10","1.57","",""
"885","R250-II0322ROJ","FRONTAL DE MASCARILLA 2022","","","40","40","7.94","",""
"890","R250-II0405","COMPLEMENTO DE TAPA LATERAL IZQUIERDA CHEIF II","Middle decoration Cover , Left","","10","10","2.85","",""
"895","R250-II0423","DECORATIVO REJILLA RH","","","20","20","0.97","",""
"900","R250-II0428","DECORATIVO IZQUIERDO DE LATERAL DE MASCARILLA","FRONT LEFT SIDE PLATE","","20","20","1.33","",""
"905","R250-II0435","LATERAL DE MASCARILLA DERECHO CHIEF II 2022/-","","","80","80","14.88","",""
"910","R250-II0436VRD","LATERAL DE MASCARILLA IZQUIERDO CHIEFII  2022/-","","","50","50","14.88","",""
"915","R250-II0438ROJ","LATERAL CENTRAL DE MASCARILLA LH CHIEF II 2022/-","","","50","50","14.88","",""
"920","R250-II0440","LATERAL POSTERIOR IZQUIERDO 2022/-","","","20","20","5.82","",""
"925","R250-II0442","TAPA LATERAL IZQUIERDA 2022/-","","","20","20","2.94","",""
"930","R250-II0501","MANUBRIO IZQUIERDO  CHEIF II","","","30","30","0.83","",""
"935","R250-II0510","RETROVISOR DERECHO    CHEIF II","","","150","150","2.23","",""
"940","R250-II0515","MANIJA DE EMBRAGUE","","","20","20","3.75","",""
"945","R250-II0524","TIMON IZQUIERDO 2023","","","100","100","12.16","",""
"950","R250-II0604","EMPAQUE DE MOTOR CHEIF II","GASKET SET","","150","150","3.61","",""
"955","R250-II0611","CARBURADOR","","","30","30","16.74","",""
"960","R250-II0618","CARTER DERECHO","","","10","10","17.82","",""
"965","R250-II0641","KIT DE CILINDRO","","","100","100","25.01","",""
"970","R250-II0703","ESTRIBO DEL PASAJERO DERECHO CHEIF II","REAR FOOTREST, RIGHT","","50","50","4.44","",""
"975","R250-II0801","ARO DELANTERO  CHEIF II","FRONT WHEEL","","30","30","41.59","",""
"980","R250-II0810","DISCO DE FRENO DELANTERO","","","20","20","7.04","",""
"985","R250-II0821","PASTILLA DE FRENO DELANTERO RH","","","50","50","3.63","",""
"990","R250-SP1421","SOPORTE DE FARO Y VELOCIMETRO SPORT II","","","20","20","","",""
"571","R200-060803","SISTEMA HIDRAULICO DE FRENO DELANTERO","Front arrester assy","前液压盘式制动器","20","20","22.12","",""
"576","R200-060831","CABLE DE ACELERADOR","Throttle cable","油门拉索","150","150","0.94","",""
"581","R200-060942NEG","TANQUE DE COMBUSTIBLE C/BOYA COMBUSTIBLE","","","30","30","32.01","",""
"586","R200-061310","CATALINA","R•chain wheel","链轮","350","350","5.47","",""
"591","R200-061725","CIGUEÑAL C/BALANSHACK","","","100","100","28.04","",""
"596","R200-063023","ESTRIBO DE PASAJERO DERECHO","Rear footrest assy","后右搁脚组合","100","100","3.23","",""
"601","R200-080401","TAPA DERECHA DE CARTER DEL OR","","","10","10","15.64","",""
"606","R200-080721","KIT WITCH","","","30","30","8.63","",""
"611","R200-080824","CABLE DE EMBRAGUE","CLUTCH CABLE COMP","离合器操纵线","30","30","1.27","",""
"616","R200-080842NEG","DECORATIVO DE TIMON","","","20","20","2.32","",""
"621","R200-081107","AMORTIGUADOR","REAR ABSORBER","后减震器","50","50","23.69","",""
"626","R200-081404","BOBINA DE BUJIA","COIL COMP","点火线圈","30","30","1.89","",""
"631","R200-082114","CAJA DE HERREMIENTAS","Tools box","工具盒","20","20","1.2","",""
"636","R200-096124","PIÑON MOTRIZ","","","50","50","1.49","",""
"641","R200-180306","CILINDRO","","","100","100","28.98","",""
"646","R200-180811","CIGUEÑAL","","","30","30","34.25","",""
"651","R200-181617","FARO NEW","","","30","30","41.71","",""
"656","R200-181623","BASE DE FARO NEW 2021","","","30","30","","",""
"661","R200-181705","COMANDO LH","Handlebar switch, LH","","120","120","3.15","",""
"666","R200-181801ROJ","TANQUE DE COMBUSTIBLE","Gasoline Tank Jointing assy","","30","30","47.1","",""
"671","R200-181826","(JGS) LUZ LED DE COBERTOR DE TANQUE","","","30","30","7.33","",""
"676","R200-181907","ESTRIBO POSTERIOR RH","Rr-Rt Footrest","","50","50","2.91","",""
"681","R200-181919","DECORATIVO ESTRIBO POSTERIOR  METALICA LH","","","30","30","5.8","",""
"686","R200-182007","PARTE SUPERIOR DE GUARDAFANGO POSTERIOR","Bracket , Rear  Fender","","120","120","2.75","",""
"691","R200-182131","MESA DE DIRECCION NEW","","","20","20","13.65","",""
"696","R200-182413","ESTRIBO DE CONDUCTOR RH","Footrest ,FR","","30","30","4.97","",""
"701","R200-182712","EJE DE RUEDA DELANTERA","Front Wheel Axle","","10","10","2.13","",""
"706","R200-231413","LUZ DE STOP","Taillight assy","","20","20","3.53","",""
"711","R200-6E0710","CABLE DE VELOCIMETRO","Flexible cable, odometer","","50","50","1.77","",""
"716","R200-6E1116","GUARDAFANGO POSTERIOR","","","260","260","7.11","",""
"721","R200-6E1122NEG","COMPLEMENTO DE LATERAL POSTERIOR DERECHO 2023","","","20","20","3.27","",""
"726","R200-6E1124ROJ","COBERTOR DE TANQUE DERECHO 2023","","","20","20","7.27","",""
"731","R200-6E1127ROJ","LATERAL POSTERIOR DERECHO THOR 2023","","","20","20","4.96","",""
"736","R200-6E1308","ESTRIBO DE CONDUCTOR IZQUIERDO","","","20","20","3.31","",""
"741","R200-6E1414","ASIENTO","","","20","20","14.64","",""
"746","R200-9S1212","BOYA COMBUSTIBLE","Fuel sensor","","150","150","1.87","",""
"751","R200-9S1805","GUARDALODO POSTERIOR  200-9 STREET","Rear fender","","50","50","2.67","",""
"756","R200-9S2007","MESA DE SUSPENCION","Lower bearing of steering stem","","300","300","49.29","",""
"761","R200-9S2019","BARRA TELESCOPICA DERECHA","Right front shock absorber","","30","30","24.12","",""
"766","R200-VR0501","TAPA DE EMBRAGUE MATE","","","5","5","13.62","",""
"771","R200-VR1225","ASIENTO DHL","","","10","10","19.46","",""
"776","R200-VR1402","DECORATIVO INF.DE GUARDFANGO POSTERIOR","Inner bush, rear fender","","200","200","1.05","",""
