"Secuencia","Codigo Producto","Producto","Ingles","Chino","Cantidad","Saldo","Costo","Fob","Fob Total"
"434","R150-JD1409","CIGUEÑAL FREEDOM","","","20","20","24.64","",""
"439","R150-JD1416","KIT DE TRANSMISION DELANTERA FREEDOM","","","20","20","24.82","",""
"444","R150-JD1509","DECORATIVO DE VENTILADOR JEDI","","","5","5","0.7","",""
"449","R150-WR0304BLA","DECORATIVO DE MASCARILLA IZQUIERDO","","","20","20","1.62","",""
"454","R150-WR0418","ESPONJA DE COBERTOR IZQUIERDO WOLVERINE","","","50","50","0.55","",""
"459","R150-WR0503","EJE DE OSCILANTE C/TUERCA 125-24 WOLVERINE","","","10","10","2.23","",""
"464","R150-WR0801","ESTRIBO DEL CONDUCTOR CON PATA DE APOYO","","","50","50","","",""
"469","R150-WR0904","CABLE DE EMBRAGUE","","","150","150","1.83","",""
"474","R150-WR1311","ARO DE RUEDA POSTERIOR WOLVERINE","","","30","30","37.41","",""
"479","R175-CT0106","COBERTOR DE VELOCIMETRO","","","20","20","2.24","",""
"484","R175-CT0117","DIRECCIONAL DELANTERA DERECHA","","","30","30","5.03","",""
"489","R175-CT0204","DECORATIVO INF. DE COBERTOR ENTREPIERNA","","","5","5","0.37","",""
"494","R175-CT0301ROJ","LATERAL POSTERIOR IZQUIERDO","","","15","15","11.54","",""
"499","R175-CT0305","CUBIERTA DE STOP","","","15","15","2.26","",""
"504","R175-CT0312","BASE ASIENTO","","","20","20","10.05","",""
"509","R175-CT0401","GUARDAFANGO POSTERIOR","","","30","30","2.99","",""
"514","R175-CT0406","TANQUE DE COMBUSTIBLE","","","10","10","9.62","",""
"519","R175-CT0602","MESA DE SUSPENCION","","","30","30","10.13","",""
"524","R175-CT0608","MANUBRIO DE ACELERACION","","","30","30","0.73","",""
"529","R175-CT0615","CABLE DE ACELERADOR","","","30","30","1.99","",""
"534","R175-CT0703","EJE DE RUEDA DELANTERA","","","10","10","2.22","",""
"539","R175-CT0710","BASE DE RUEDA POSTERIOR","","","10","10","9.62","",""
"544","R175-CT1014","KIT DE CILINDRO","","","10","10","21.22","",""
"549","R175-CT1019","BALANCIN CON BASE","","","30","30","1.92","",""
"554","R200-060122","CABEZOTE C/BALANSHAFT","","","50","50","13.48","",""
"559","R200-060312","CAJA DE CAMBIO C/BALANSHAFT","","","250","250","14.72","",""
"564","R200-060625NEG","TAPA BOBINA DE MOTOR 2016 BALANSHAFT","","","60","60","10.17","",""
"569","R200-060725","VELOCIMETRO ""MEDIDOR DE COMBUSTIBLE""","","","150","150","11.71","",""
"574","R200-060812","RETROVISOR IZQUIERDO","Rear-left view mirror","左后视镜","150","150","1.62","",""
"579","R200-060923","LLAVE DE PASO DEL COMBUSTIBLE","Fuel switch","燃油开关","30","30","2.16","",""
"584","R200-061019","COBERTOR POSTERIOR","Trail cover","尾罩组合","200","200","7.67","",""
"589","R200-061409","CDI","Control, ignition","点火控制器C D I","150","150","4.18","",""
"594","R200-061918","KIT DE UÑETA Y SELECTOR DE CAMBIO (JUEGO)","","","100","100","5.69","",""
"599","R200-063036","CAUCHO DE ESTRIBO POSTERIORJUEGO 2PCS","","","50","50","3.1","",""
"604","R200-080706","SOPORTE DE DIRECCIONAL DELANTERA DERECHA","Install bracket, RH turninglight","前右转向灯安装支架","20","20","","",""
